country_name,country_code,year,export_value_usd
Denmark,DNK,2021,197314906.533
Denmark,DNK,2022,166673585.461
Denmark,DNK,2023,156573851.838
Denmark,DNK,2024,157916619.334
Djibouti,DJI,2018,36015.554
Djibouti,DJI,2019,4002.288
Djibouti,DJI,2020,5393.45
Djibouti,DJI,2021,7989.411
Djibouti,DJI,2022,50079.834
Djibouti,DJI,2023,7308.295
Djibouti,DJI,2024,47998.962
Dominica,DMA,2019,26033.343
Dominica,DMA,2020,27991.797
Dominica,DMA,2021,56582.296
Dominica,DMA,2022,52181.719
Dominica,DMA,2023,3255.7
Dominica,DMA,2024,2078.984
Dominican Rep.,DOM,2018,3477927.244
Dominican Rep.,DOM,2019,3290173.966
Dominican Rep.,DOM,2020,2949853.665
Dominican Rep.,DOM,2021,5173720.075
Dominican Rep.,DOM,2022,5197184.617
Dominican Rep.,DOM,2023,5067715.719
Dominican Rep.,DOM,2024,5849785.241
Ecuador,ECU,2018,1154074.306
Ecuador,ECU,2019,1508535.637
Ecuador,ECU,2020,1448330.799
Ecuador,ECU,2021,2873484.142
Ecuador,ECU,2022,4382946.355
Ecuador,ECU,2023,6700042.078
Ecuador,ECU,2024,7132788.72
Egypt,EGY,2018,189146.316
Egypt,EGY,2019,197995.141
