typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","72","BWA","Botswana","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","7786","true","-1","N/A","0","false","7790","false","0","false",,"49636.678","49636.678","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","76","BRA","Brazil","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","11659725","true","-1","N/A","0","false","11661114","false","0","false",,"41677700.682","41677700.682","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","84","BLZ","Belize","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","25459","true","-1","N/A","0","false","25471","false","0","false",,"177652.091","177652.091","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","92","VGB","Br. Virgin Isds","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","46653","false","7","l","46653","false","46653","false","0","false",,"753226.633","753226.633","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","100","BGR","Bulgaria","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","2792807","true","-1","N/A","0","false","2805818","false","0","false",,"8275261.174","8275261.174","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","104","MMR","Myanmar","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","69781","false","7","l","69781","false","69799","false","0","false",,"248700.646","248700.646","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","108","BDI","Burundi","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","9382","false","7","l","9382","false","9382","false","0","false",,"17341.129","17341.129","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","112","BLR","Belarus","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1226227","true","-1","N/A","0","false","1225972","false","0","false",,"3226278.937","3226278.937","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","116","KHM","Cambodia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","203239","true","-1","N/A","0","false","203246","false","0","false",,"938702.544","938702.544","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","120","CMR","Cameroon","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","19169","true","-1","N/A","0","false","19177","false","0","false",,"110004.684","110004.684","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","124","CAN","Canada","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","76934857","true","-1","N/A","0","false","76940575","false","0","false",,"393704986.042","393704986.042","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","132","CPV","Cabo Verde","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","35985","true","-1","N/A","0","false","35981","false","0","false",,"95389.197","95389.197","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","136","CYM","Cayman Isds","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","211418","true","-1","N/A","0","false","211345","false","0","false",,"2059958.138","2059958.138","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","140","CAF","Central African Rep.","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","420","false","7","l","420","false","433","false","0","false",,"1404.154","1404.154","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","144","LKA","Sri Lanka","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","170860","true","-1","N/A","0","false","171006","false","0","false",,"824053.168","824053.168","2","false","true",
