country_name,country_code,year,import_value_usd
Lesotho,LSO,2018,3697404.801
Lesotho,LSO,2019,3230486.865
Lesotho,LSO,2020,3123271.268
Lesotho,LSO,2021,4018735.374
Lesotho,LSO,2022,4722081.891
Lesotho,LSO,2023,4204030.983
Lesotho,LSO,2024,5242744.13
Liberia,LBR,2018,589703.54
Liberia,LBR,2019,590555.72
Liberia,LBR,2020,687970.37
Liberia,LBR,2021,1540820.23
Liberia,LBR,2022,2080483.59
Liberia,LBR,2023,1866545.82
Lithuania,LTU,2018,245736464
Lithuania,LTU,2019,241039556
Lithuania,LTU,2020,270949796
Lithuania,LTU,2021,299623489
Lithuania,LTU,2022,285244178
Lithuania,LTU,2023,313836959
Lithuania,LTU,2024,113282605
Luxembourg,LUX,2018,134921765.244
Luxembourg,LUX,2019,132006649.846
Luxembourg,LUX,2020,125012499.574
Luxembourg,LUX,2021,149442541.326
Luxembourg,LUX,2022,134823716.588
Luxembourg,LUX,2023,143797491.571
Luxembourg,LUX,2024,242968474.195
Madagascar,MDG,2018,2101886.164
Madagascar,MDG,2019,2245409.146
Madagascar,MDG,2020,1102341.211
Madagascar,MDG,2021,1356867.841
Madagascar,MDG,2022,8475267.351
Madagascar,MDG,2023,8715789.467
Madagascar,MDG,2024,1930276.422
Malawi,MWI,2018,363848.082
Malawi,MWI,2019,261800.443
Malawi,MWI,2020,334843.052
Malawi,MWI,2021,182178.917
Malawi,MWI,2022,168401.98
Malawi,MWI,2023,150916.12
Malawi,MWI,2024,510563.183
Malaysia,MYS,2018,101713101.495
Malaysia,MYS,2019,92842452.328
Malaysia,MYS,2020,66474237.086
Malaysia,MYS,2021,82874440.539
Malaysia,MYS,2022,131510606.513
Malaysia,MYS,2023,101562918.412
Malaysia,MYS,2024,101087762.803
Maldives,MDV,2018,10787286.111
Maldives,MDV,2019,13071186.42
Maldives,MDV,2020,5859711.207
Maldives,MDV,2021,14452814.286
Maldives,MDV,2022,15051146.512
Maldives,MDV,2023,13649847.188
Maldives,MDV,2024,15517608.121
Mali,MLI,2018,336533.84
Mali,MLI,2019,823350.63
Mali,MLI,2020,961736.405
Mali,MLI,2021,1026229.766
Mali,MLI,2022,957508.23
Mali,MLI,2023,963621.127
Malta,MLT,2018,22980742.566
Malta,MLT,2019,24842020.134
Malta,MLT,2020,20382174.658
Malta,MLT,2021,24197578.738
Malta,MLT,2022,26531602.355
Malta,MLT,2023,29037796.414
Malta,MLT,2024,29073757.676
Mauritania,MRT,2018,774311.44
Mauritania,MRT,2019,181214.08
Mauritania,MRT,2021,11689.81
Mauritania,MRT,2022,18649.746
Mauritania,MRT,2023,2251.335
Mauritania,MRT,2024,53333.725
Mauritius,MUS,2018,19982377.615
Mauritius,MUS,2019,16109008.052
Mauritius,MUS,2020,9577447.027
Mauritius,MUS,2021,11355243.016
Mauritius,MUS,2022,23727601.791
Mauritius,MUS,2023,20237692.876
Mauritius,MUS,2024,22011673.171
Mexico,MEX,2018,271125775
Mexico,MEX,2019,271185117
Mexico,MEX,2020,221774200
Mexico,MEX,2021,271633447
Mexico,MEX,2022,398991959
Mexico,MEX,2023,352647524
Mexico,MEX,2024,348551435
Mongolia,MNG,2018,7647628.86
Mongolia,MNG,2019,6339817.83
Mongolia,MNG,2020,5672935.17
Mongolia,MNG,2021,12700384.54
Mongolia,MNG,2022,15979803.835
Mongolia,MNG,2023,12358849.724
Montenegro,MNE,2018,8143639.092
Montenegro,MNE,2019,7869950.746
Montenegro,MNE,2020,6725116.5
Montenegro,MNE,2021,9074706.694
Montenegro,MNE,2022,11493097.023
Montenegro,MNE,2023,14008878.502
Montenegro,MNE,2024,14791985.737
Montserrat,MSR,2018,19432.739
Montserrat,MSR,2019,33144.314
Montserrat,MSR,2020,38718.103
Montserrat,MSR,2021,45421.537
Montserrat,MSR,2022,65446.355
Montserrat,MSR,2023,55970.133
Montserrat,MSR,2024,71193.263
Morocco,MAR,2018,29145617.588
Morocco,MAR,2019,27109247.647
Morocco,MAR,2020,27730000.584
Morocco,MAR,2021,25770193.328
Morocco,MAR,2022,35881220.373
Morocco,MAR,2023,46833418.702
Morocco,MAR,2024,39953351.895
Mozambique,MOZ,2018,11708951.695
Mozambique,MOZ,2019,5606059.815
Mozambique,MOZ,2020,7163797.073
Mozambique,MOZ,2021,10011885.599
Mozambique,MOZ,2022,9113046.859
Mozambique,MOZ,2023,8557000
Mozambique,MOZ,2024,8426821.5
Myanmar,MMR,2018,5266909.01
Myanmar,MMR,2019,5061645.26
Myanmar,MMR,2020,3146017.35
Myanmar,MMR,2021,3848996.999
Myanmar,MMR,2022,3353402.92
Myanmar,MMR,2023,4221110.879
Myanmar,MMR,2024,1371777.61
Namibia,NAM,2018,46456415.008
Namibia,NAM,2019,37553038.059
Namibia,NAM,2020,31622049.978
Namibia,NAM,2021,38663390.47
Namibia,NAM,2022,42597785.183
Namibia,NAM,2023,47205665.057
Namibia,NAM,2024,52250330.317
Nepal,NPL,2018,3397848.63
Nepal,NPL,2019,2732455.13
Nepal,NPL,2020,1101211.97
Nepal,NPL,2021,2538212.66
Nepal,NPL,2022,2310430.592
Netherlands,NLD,2018,1380049744.657
Netherlands,NLD,2019,1335770809.927
Netherlands,NLD,2020,1488933858.327
Netherlands,NLD,2021,1701803133.484
Netherlands,NLD,2022,1569394245.391
Netherlands,NLD,2023,1602247659.301
Netherlands,NLD,2024,1533638273.644
New Zealand,NZL,2018,143397945.276
New Zealand,NZL,2019,137753032.414
New Zealand,NZL,2020,144681182.696
New Zealand,NZL,2021,183745641.498
New Zealand,NZL,2022,165723895.786
New Zealand,NZL,2023,154014773.594
New Zealand,NZL,2024,145885130.511
Nicaragua,NIC,2018,2758990.51
Nicaragua,NIC,2019,2260362.73
Nicaragua,NIC,2020,2623577.77
Nicaragua,NIC,2021,3557716.88
Nicaragua,NIC,2022,3133695.54
Nicaragua,NIC,2023,4410457.33
Nicaragua,NIC,2024,2658320
Niger,NER,2018,308321.222
Niger,NER,2019,376443.788
Niger,NER,2020,297001.944
Niger,NER,2021,221295.471
Niger,NER,2022,370511.832
Niger,NER,2023,137723.197
Niger,NER,2024,70450.217
Nigeria,NGA,2018,5768465.007
Nigeria,NGA,2019,15638515.81
Nigeria,NGA,2020,13851855.995
Nigeria,NGA,2021,12885701.903
Nigeria,NGA,2022,14469829.641
Nigeria,NGA,2023,7382156.853
Nigeria,NGA,2024,6207213.267
North Macedonia,MKD,2018,682231.43
North Macedonia,MKD,2019,1098901.54
North Macedonia,MKD,2020,921525.63
North Macedonia,MKD,2021,1535108.55
North Macedonia,MKD,2022,1480935.76
North Macedonia,MKD,2023,1967799.966
North Macedonia,MKD,2024,3873645.06
Norway,NOR,2018,440635666.124
Norway,NOR,2019,431530776.166
Norway,NOR,2020,505927132.762
Norway,NOR,2021,567194803.657
Norway,NOR,2022,494346405.379
Norway,NOR,2023,523735682.026
Norway,NOR,2024,498590011.172
Oman,OMN,2018,3923008.75
Oman,OMN,2019,4192522.379
Oman,OMN,2020,3329601.781
Oman,OMN,2021,2446533.156
Oman,OMN,2022,3487191.152
Oman,OMN,2023,4956423.919
"Other Asia, nes",S19,2018,214744035.59
"Other Asia, nes",S19,2019,209532289.79
"Other Asia, nes",S19,2020,215974493.595
"Other Asia, nes",S19,2021,264112596.811
"Other Asia, nes",S19,2022,278105265.07
"Other Asia, nes",S19,2023,274658197.43
"Other Asia, nes",S19,2024,238974796.233
Pakistan,PAK,2018,112622.182
Pakistan,PAK,2019,91086.443
Pakistan,PAK,2020,98088.879
Pakistan,PAK,2021,137218.022
Pakistan,PAK,2022,63123.871
Pakistan,PAK,2023,76058.065
Pakistan,PAK,2024,42286.531
Palau,PLW,2018,410794.67
Panama,PAN,2018,38320398
Panama,PAN,2019,39049956
Panama,PAN,2020,29803715
Panama,PAN,2021,29043734
Panama,PAN,2022,30260192
Panama,PAN,2023,25258673
Panama,PAN,2024,27072223
Papua New Guinea,PNG,2019,3542221.999
Papua New Guinea,PNG,2020,2744364.63
Papua New Guinea,PNG,2021,3285999.213
Papua New Guinea,PNG,2022,3341548.237
Papua New Guinea,PNG,2023,3576950.905
Paraguay,PRY,2018,51670490
Paraguay,PRY,2019,42313866
Paraguay,PRY,2020,31681535
Paraguay,PRY,2021,45125546
Paraguay,PRY,2022,45981915.58
Paraguay,PRY,2023,37521053.513
Paraguay,PRY,2024,38925906.84
Peru,PER,2018,37954921.79
Peru,PER,2019,37465410.87
Peru,PER,2020,33873650.6
Peru,PER,2021,42276382.08
Peru,PER,2022,53594844.57
Peru,PER,2023,45661610.21
Peru,PER,2024,49949241.988
Philippines,PHL,2018,36601771.35
Philippines,PHL,2019,44030284
Philippines,PHL,2020,24064580
Philippines,PHL,2021,30681282
Philippines,PHL,2022,56143789
Philippines,PHL,2023,53893416
Philippines,PHL,2024,39295919
Poland,POL,2018,354095925
Poland,POL,2019,333090751
Poland,POL,2020,367661184
Poland,POL,2021,423478281
Poland,POL,2022,403345131
Poland,POL,2023,425979771
Poland,POL,2024,426252781
Portugal,PRT,2018,195535427
Portugal,PRT,2019,189447101.956
Portugal,PRT,2020,189895468.17
Portugal,PRT,2021,204455632.555
Portugal,PRT,2022,217434505.66
Portugal,PRT,2023,213638772.075
Portugal,PRT,2024,166568505.107
Qatar,QAT,2018,6218307.555
Qatar,QAT,2019,6156578.825
Qatar,QAT,2020,6865182.689
Qatar,QAT,2021,5462843.236
Qatar,QAT,2022,13300119.165
Qatar,QAT,2023,4059680.286
Qatar,QAT,2024,8435654.143
Rep. of Korea,KOR,2018,244001146
Rep. of Korea,KOR,2019,259254957
Rep. of Korea,KOR,2020,330017230
Rep. of Korea,KOR,2021,559808540
Rep. of Korea,KOR,2022,581282439
Rep. of Korea,KOR,2023,506019190
Rep. of Korea,KOR,2024,462111925
Rep. of Moldova,MDA,2018,2887059
Rep. of Moldova,MDA,2019,2623566
Rep. of Moldova,MDA,2020,2992169
Rep. of Moldova,MDA,2021,6045537
Rep. of Moldova,MDA,2022,5867123
Rep. of Moldova,MDA,2023,6110390
Rep. of Moldova,MDA,2024,12392251
Romania,ROU,2018,73969717.94
Romania,ROU,2019,70320831.56
Romania,ROU,2020,81005770.52
Romania,ROU,2021,109613621.16
Romania,ROU,2022,123060757.34
Romania,ROU,2023,142141263.06
Romania,ROU,2024,143156829.07
Russian Federation,RUS,2018,1051033087.79
Russian Federation,RUS,2019,1161242760.75
Russian Federation,RUS,2020,1092548845.93
Russian Federation,RUS,2021,1251094437.729
Rwanda,RWA,2018,3307509.137
Rwanda,RWA,2019,4411307.55
Rwanda,RWA,2020,4676505.31
Rwanda,RWA,2021,4590519.14
Rwanda,RWA,2022,10012916.52
Saint Lucia,LCA,2018,5912554.34
Saint Lucia,LCA,2019,5013161.14
Saint Lucia,LCA,2020,2971303.27
Saint Vincent and the Grenadines,VCT,2018,1871670.743
Saint Vincent and the Grenadines,VCT,2019,2312960.01
Saint Vincent and the Grenadines,VCT,2020,1823542.22
Saint Vincent and the Grenadines,VCT,2021,2082340.509
Saint Vincent and the Grenadines,VCT,2022,2777857.689
Saint Vincent and the Grenadines,VCT,2023,2113096.457
Samoa,WSM,2018,65209.882
Samoa,WSM,2019,46950.07
Samoa,WSM,2021,112521.364
Samoa,WSM,2022,155176.006
Samoa,WSM,2023,79019.72
Samoa,WSM,2024,95788.268
Sao Tome and Principe,STP,2018,4429539.286
Sao Tome and Principe,STP,2019,4194043.064
Sao Tome and Principe,STP,2020,4342864.645
Sao Tome and Principe,STP,2021,5379354.989
Sao Tome and Principe,STP,2022,4826647.748
Sao Tome and Principe,STP,2023,3902907.115
Senegal,SEN,2018,6166617.529
Senegal,SEN,2019,5998365.972
Senegal,SEN,2020,4459990.614
Senegal,SEN,2021,6186949.899
Senegal,SEN,2022,5706399.592
Senegal,SEN,2023,6004630.927
Senegal,SEN,2024,4752691.667
Serbia,SRB,2018,31573501
Serbia,SRB,2019,31212915
Serbia,SRB,2020,31193694
Serbia,SRB,2021,40181808
Serbia,SRB,2022,38645631
Serbia,SRB,2023,46071909
Serbia,SRB,2024,51982249
Seychelles,SYC,2018,11921936.144
Seychelles,SYC,2019,7088459.679
Seychelles,SYC,2020,447551.888
