country_name,country_code,year,total_imports_usd,italian_exports_usd,italian_market_share_pct
Cuba,CUB,2020,7861868.53,494761.615,6.293180979967366
Cuba,CUB,2021,5020419.97,100292.83,1.9976980132998714
Cuba,CUB,2022,14943222.07,439123.385,2.9386124554863153
Curaçao,CUW,2018,7607862.715,1392569.147,18.30434116870102
Curaçao,CUW,2019,7355847.56,519889.921,7.067709285155442
Curaçao,CUW,2020,4435249.667,363797.421,8.202411325495286
Cyprus,CYP,2018,30359408.022,7445194.588,24.523517002060206
Cyprus,CYP,2019,28998545.694,6990642.335,24.10687214720017
Cyprus,CYP,2020,22712060.325,4801563.545,21.14103025569522
Cyprus,CYP,2021,34892473.692,8725710.398,25.007428464438718
Cyprus,CYP,2022,38471745.885,11207747.155,29.13241106473897
Cyprus,CYP,2023,41340841.648,14244439.253,34.45609398639111
Cyprus,CYP,2024,42786296.096,12527541.578,29.27933175120333
Czechia,CZE,2018,263411476,57354485.945,21.773723307711922
Czechia,CZE,2019,256829436,59541119.033,23.18313662184735
Czechia,CZE,2020,269794046,65533203.098,24.290084999874313
Czechia,CZE,2021,294487808,79403401.996,26.96322219084873
Czechia,CZE,2022,284392639,82629245.67,29.054635858560317
Czechia,CZE,2023,307995715,105948063.561,34.399200508682405
Czechia,CZE,2024,316627987,110195299.949,34.802766803112704
Côte d'Ivoire,CIV,2018,41799326.603,622319.063,1.488825571068734
Côte d'Ivoire,CIV,2019,39914398.097,362984.562,0.9094075804873083
Côte d'Ivoire,CIV,2020,36641961.88,220479.236,0.6017124211909147
Côte d'Ivoire,CIV,2021,54262092.967,295899.153,0.5453146696349399
Côte d'Ivoire,CIV,2022,52732692.017,418147.709,0.7929572585924444
Côte d'Ivoire,CIV,2023,64122695.428,826010.293,1.2881715085222571
Côte d'Ivoire,CIV,2024,53419442.471,497178.964,0.9307078864963918
Dem. Rep. of the Congo,COD,2018,2165622.321,46918.121,2.1664960018668
Dem. Rep. of the Congo,COD,2019,2053541.056,11306.043,0.5505632802892448
Dem. Rep. of the Congo,COD,2020,1486647.308,23179.726,1.5591946977110458
Dem. Rep. of the Congo,COD,2021,2443306.799,413643.317,16.92965112565055
Dem. Rep. of the Congo,COD,2022,4814500.306,263110.518,5.46496004314513
Dem. Rep. of the Congo,COD,2023,7248185.11,1337534.689,18.45337375772402
Denmark,DNK,2018,749387687.829,171548296.177,22.89179539017793
Denmark,DNK,2019,732103614.623,166643263.396,22.76225114416539
Denmark,DNK,2020,777540550.24,175124912.739,22.52292985683447
Denmark,DNK,2021,1007325126.664,197314906.533,19.588006028049342
Denmark,DNK,2022,824863354.55,166673585.461,20.206205614738202
Denmark,DNK,2023,785397589.686,156573851.838,19.93561654557634
Denmark,DNK,2024,782564645.419,157916619.334,20.17937051698118
Djibouti,DJI,2021,1091010.319,7989.411,0.7322947236028847
Djibouti,DJI,2022,732206.606,50079.834,6.839576915808378
Djibouti,DJI,2023,399523.094,7308.295,1.8292547063624813
Dominica,DMA,2018,1053370.648,0,0
Dominica,DMA,2019,954158.826,26033.343,2.728407712700862
Dominica,DMA,2020,915398.344,27991.797,3.0578815423332246
Dominica,DMA,2021,642131.21,56582.296,8.811640848293296
Dominica,DMA,2022,760794.795,52181.719,6.858842797419505
Dominica,DMA,2023,718992.614,3255.7,0.4528141091585678
Dominican Rep.,DOM,2018,57879333.89,3477927.244,6.008927557130876
Dominican Rep.,DOM,2019,61893294.859,3290173.966,5.31588110391504
Dominican Rep.,DOM,2020,46936309.63,2949853.665,6.284801017067093
Dominican Rep.,DOM,2021,79027795.264,5173720.075,6.546709366896404
Dominican Rep.,DOM,2022,96885000.655,5197184.617,5.3642819650760725
Dominican Rep.,DOM,2023,79248155.218,5067715.719,6.394742824056232
Dominican Rep.,DOM,2024,93436605.783,5849785.241,6.260699639053369
Ecuador,ECU,2018,21928248.766,1154074.306,5.262957011822146
Ecuador,ECU,2019,22626139.522,1508535.637,6.667225027642081
Ecuador,ECU,2020,20174310.35,1448330.799,7.1790845579016285
Ecuador,ECU,2021,31958158.41,2873484.142,8.991394639000413
Ecuador,ECU,2022,38064452.4,4382946.355,11.514539363240651
Ecuador,ECU,2023,30267387.9,6700042.078,22.136175411423594
Ecuador,ECU,2024,30931386.739,7132788.72,23.060035362095764
Egypt,EGY,2019,625.523,197995.141,31652.735550891015
Egypt,EGY,2020,13629.629,176411.03,1294.320116857179
Egypt,EGY,2021,29496.82,375132.11,1271.771363828372
Egypt,EGY,2022,8083.693,186835.047,2311.2585670930353
Egypt,EGY,2023,14451.351,241759.769,1672.9215766747345
Egypt,EGY,2024,28427.958,225755.238,794.1310381843114
El Salvador,SLV,2018,5586550.36,477529.378,8.547839851568078
El Salvador,SLV,2019,5900185.91,501742.484,8.5038419408042
El Salvador,SLV,2020,5232919.73,385510.567,7.367026189794047
El Salvador,SLV,2021,7593381.83,808546.113,10.648037081522608
El Salvador,SLV,2022,9668005.87,963479.473,9.96564840728629
El Salvador,SLV,2023,9007521.54,631851.212,7.014706644820304
El Salvador,SLV,2024,8003949.97,683442.937,8.538820701799064
Estonia,EST,2018,87430281.431,17485174.219,19.998991119340392
Estonia,EST,2019,82989549.845,18458500.282,22.241957350624308
Estonia,EST,2020,75924411.86,16936770.121,22.307410365233217
Estonia,EST,2021,90642478.74,21661097.524,23.897291672851267
Estonia,EST,2022,94385632.29,24757409.174,26.23006126391443
Estonia,EST,2023,94189012.54,25045448.833,26.590626823233492
Estonia,EST,2024,108570265.98,23081626.455,21.25962043719403
