typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20190101","2019","52","2019","380","ITA","Italy","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","155213972.382","true","-1","N/A","0","false","157207406.583","true","0","false","373330985.259",,"373330985.259","6","false","true",
"C","A","20190101","2019","52","2019","384","CIV","Côte d'Ivoire","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","40840617.355","true","-1","N/A","0","false","41474706","true","0","false","39914398.097",,"39914398.097","6","false","true",
"C","A","20190101","2019","52","2019","388","JAM","Jamaica","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","3386642.734","true","-1","N/A","0","false","4411312.772","true","0","false","10613884.083","0","10613884.083","6","false","true",
"C","A","20190101","2019","52","2019","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","285463022","false","7","l","285463022","false","285463022","false","0","false","1810463541.221","0","1810463541.221","0","false","true",
"C","A","20190101","2019","52","2019","398","KAZ","Kazakhstan","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","17813721.707","true","-1","N/A","0","false","18041178.68","false","0","false","36229132.4",,"36229132.4","2","false","true",
"C","A","20190101","2019","52","2019","400","JOR","Jordan","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","312634.786","true","-1","N/A","0","false","309525","false","0","false","2267407.518",,"2267407.518","2","false","true",
"C","A","20190101","2019","52","2019","404","KEN","Kenya","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","8391266.088","true","-1","N/A","0","false","8394812.3","false","0","false","21173343.11",,"21173343.11","2","false","true",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","42847612.325","true","-1","N/A","0","false","43495265.153","true","0","false","259254957",,"259254957","6","false","true",
"C","A","20190101","2019","52","2019","417","KGZ","Kyrgyzstan","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1776352.85","true","-1","N/A","0","false","2018262.704","true","0","false","2836913",,"2836913","6","false","true",
"C","A","20190101","2019","52","2019","418","LAO","Lao People's Dem. Rep.","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1445916.35","false","7","l","1445916.35","false","1582771.18","false","0","false","3391860.22",,"3391860.22","0","false","true",
"C","A","20190101","2019","52","2019","422","LBN","Lebanon","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1306756.87","true","-1","N/A","0","false","1304030.32","false","0","false","10877523.23","0","10877523.23","2","false","true",
"C","A","20190101","2019","52","2019","426","LSO","Lesotho","M","Import","0","W00","World","0","W00","World","H4","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1590185.792","true","-1","N/A","0","false","1587198.796","true","1766295.81","false","3230486.865",,"3230486.865","6","false","true",
"C","A","20190101","2019","52","2019","428","LVA","Latvia","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","39410195","false","7","l","39410195","false","39414910","false","0","false","126551950.895",,"126551950.895","0","false","true",
"C","A","20190101","2019","52","2019","430","LBR","Liberia","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","385737.319","true","-1","N/A","0","false","385831.77","false","0","false","590555.72",,"590555.72","2","false","true",
"C","A","20190101","2019","52","2019","440","LTU","Lithuania","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","91719725.07","false","7","l","91719725.07","false","91777514.64","false","0","false","241039556",,"241039556","0","false","true",
"C","A","20190101","2019","52","2019","442","LUX","Luxembourg","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","24154688.577","true","-1","N/A","0","false","36669569.734","false","0","false","132006649.846","130924433.672","132006649.846","2","false","true",
"C","A","20190101","2019","52","2019","446","MAC","China, Macao SAR","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"true","0","false","117550490.32",,"117550490.32","6","false","true",
"C","A","20190101","2019","52","2019","450","MDG","Madagascar","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1064470.799","true","-1","N/A","0","false","1122292.93","false","0","false","2245409.146",,"2245409.146","2","false","true",
"C","A","20190101","2019","52","2019","454","MWI","Malawi","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","154613.152","true","-1","N/A","0","false","154861.48","false","0","false","261800.443",,"261800.443","2","false","true",
"C","A","20190101","2019","52","2019","458","MYS","Malaysia","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","9194412.79","false","7","l","9194412.79","false","9194412.79","false","0","false","92842452.328","0","92842452.328","0","false","true",
"C","A","20190101","2019","52","2019","462","MDV","Maldives","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","2170916.75","false","7","l","2170916.75","false","2170916.75","false","0","false","13071186.42",,"13071186.42","0","false","true",
"C","A","20190101","2019","52","2019","466","MLI","Mali","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","987490","true","-1","N/A","0","false","987490","false","0","false","823350.63","0","823350.63","2","false","true",
"C","A","20190101","2019","52","2019","470","MLT","Malta","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","7388145","false","7","l","7388145","false","6935705.476","true","0","false","24842020.134",,"24842020.134","4","false","true",
"C","A","20190101","2019","52","2019","478","MRT","Mauritania","M","Import","0","W00","World","0","W00","World","H4","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","45023","true","-1","N/A","0","false","45023","false","0","false","181214.08",,"181214.08","2","false","true",
"C","A","20190101","2019","52","2019","480","MUS","Mauritius","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","2285617.568","true","-1","N/A","0","false","3309743","false","0","false","16109008.052","15056684.134","16109008.052","2","false","true",
"C","A","20190101","2019","52","2019","484","MEX","Mexico","M","Import","0","W00","World","0","W00","World","H4","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"271185117","271185117","4","false","true",
"C","A","20190101","2019","52","2019","490","S19","Other Asia, nes","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","7","l","20195672","false","20189798.41","true","0","false","209532289.79",,"209532289.79","4","false","true",
"C","A","20190101","2019","52","2019","496","MNG","Mongolia","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1750221.05","false","7","l","1750221.05","false","2853847.77","false","0","false","6339817.83",,"6339817.83","0","false","true",
"C","A","20190101","2019","52","2019","498","MDA","Rep. of Moldova","M","Import","0","W00","World","0","W00","World","H4","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1358905","false","7","l","1358905","false","1398427","false","0","false","2623566",,"2623566","0","false","true",
"C","A","20190101","2019","52","2019","499","MNE","Montenegro","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","2696599.61","false","7","l","2696599.61","false","2836590.56","false","0","false","7869950.746","0","7869950.746","0","false","true",
"C","A","20190101","2019","52","2019","500","MSR","Montserrat","M","Import","0","W00","World","0","W00","World","H3","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","5028.32","true","-1","N/A","0","false","5028.32","false","0","false","33144.314","0","33144.314","2","false","true",
"C","A","20190101","2019","52","2019","504","MAR","Morocco","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","19052731.434","true","-1","N/A","0","false","18885368.42","false","0","false","27109247.647","0","27109247.647","2","false","true",
"C","A","20190101","2019","52","2019","508","MOZ","Mozambique","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","5153200.253","true","0","false","5606059.815","5345304.575","5606059.815","4","false","true",
"C","A","20190101","2019","52","2019","512","OMN","Oman","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1234272","true","-1","N/A","0","false","1234272","false","0","false","4192522.379",,"4192522.379","2","false","true",
"C","A","20190101","2019","52","2019","516","NAM","Namibia","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","20399847.249","true","-1","N/A","0","false","31193355.484","true","0","false","37553038.059",,"37553038.059","6","false","true",
"C","A","20190101","2019","52","2019","524","NPL","Nepal","M","Import","0","W00","World","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","796116","false","7","l","796116","false","796116","false","0","false","2732455.13","0","2732455.13","0","false","true",
